,sentence1,label1,sentence2,label2,dist,match,sub
0,"Our friends won't buy this analysis, let alone the next one we propose.",1,One more pseudo generalization and I'm giving up.,1,0.35,1,1
1,One more pseudo generalization and I'm giving up.,1,One more pseudo generalization or I'm giving up.,1,0.9484536082474226,1,1
2,One more pseudo generalization or I'm giving up.,1,"The more we study verbs, the crazier they get.",1,0.46808510638297873,1,1
3,"The more we study verbs, the crazier they get.",1,Day by day the facts are getting murkier.,1,0.4137931034482759,1,1
4,Day by day the facts are getting murkier.,1,I'll fix you a drink.,1,0.3548387096774194,1,1
5,I'll fix you a drink.,1,Fred watered the plants flat.,1,0.24,1,1
6,Fred watered the plants flat.,1,Bill coughed his way out of the restaurant.,1,0.41666666666666663,1,1
7,Bill coughed his way out of the restaurant.,1,We're dancing the night away.,1,0.33333333333333337,1,1
8,We're dancing the night away.,1,Herman hammered the metal flat.,1,0.43333333333333335,1,1
9,Herman hammered the metal flat.,1,The critics laughed the play off the stage.,1,0.43243243243243246,1,1
10,The critics laughed the play off the stage.,1,The pond froze solid.,1,0.34375,1,1
11,The pond froze solid.,1,Bill rolled out of the room.,1,0.36734693877551017,1,1
12,Bill rolled out of the room.,1,The gardener watered the flowers flat.,1,0.36363636363636365,1,1
13,The gardener watered the flowers flat.,1,The gardener watered the flowers.,1,0.9295774647887324,1,0
14,The gardener watered the flowers.,1,Bill broke the bathtub into pieces.,1,0.4117647058823529,1,1
15,Bill broke the bathtub into pieces.,1,Bill broke the bathtub.,1,0.7931034482758621,1,0
16,Bill broke the bathtub.,1,They drank the pub dry.,1,0.4782608695652174,1,1
17,They drank the pub dry.,1,They drank the pub.,0,0.9047619047619048,0,0
18,They drank the pub.,0,The professor talked us into a stupor.,1,0.42105263157894735,0,1
19,The professor talked us into a stupor.,1,The professor talked us.,0,0.7741935483870968,0,0
20,The professor talked us.,0,We yelled ourselves hoarse.,1,0.3921568627450981,0,1
21,We yelled ourselves hoarse.,1,We yelled ourselves.,0,0.851063829787234,0,0
22,We yelled ourselves.,0,We yelled Harry hoarse.,0,0.6976744186046512,1,1
23,We yelled Harry hoarse.,0,Harry coughed himself into a fit.,1,0.3571428571428571,0,1
24,Harry coughed himself into a fit.,1,Harry coughed himself.,0,0.8,0,0
25,Harry coughed himself.,0,Harry coughed us into a fit.,0,0.6799999999999999,1,1
26,Harry coughed us into a fit.,0,Bill followed the road into the forest.,1,0.4477611940298507,0,1
27,Bill followed the road into the forest.,1,We drove Highway 5 from SD to SF.,1,0.36111111111111116,1,1
28,We drove Highway 5 from SD to SF.,1,Fred tracked the leak to its source.,1,0.37681159420289856,1,1
29,Fred tracked the leak to its source.,1,John danced waltzes across the room.,1,0.4444444444444444,1,1
30,John danced waltzes across the room.,1,Bill urinated out the window.,1,0.4307692307692308,1,1
31,Bill urinated out the window.,1,Bill coughed out the window.,1,0.8421052631578947,1,1
32,Bill coughed out the window.,1,Bill bled on the floor.,1,0.6274509803921569,1,1
33,Bill bled on the floor.,1,The toilet leaked through the floor into the kitchen below.,1,0.46341463414634143,1,1
34,The toilet leaked through the floor into the kitchen below.,1,Bill ate off the floor.,1,0.4390243902439024,1,1
35,Bill ate off the floor.,1,Bill drank from the hose.,1,0.625,1,1
